ID,MONEY_VALUE
1692,"$115,000.00"
1693,$1985.00
1694,$500 weeks
1695,"$2,775"
1696,$3460
1697,"$6,229.24"
1698,"$5,753.40"
1699,$3850
1700,$50s
1701,several thousands of dollars
1702,$$ so
1703,$30.70
1704,$30.13
1705,"$16,778.66"
1706,$339.47
1707,"$17,118.13"
1708,"$ 2,367.62"
1709,$4k
1710,$26k
1711,1 million dollars
1712,$1165
1713,$1740
1714,$1730
1715,"$53,400"
1716,$51000
1717,"$2,250.55"
1718,$6084
1719,"$11,211"
1720,$5415
1721,$2832
1722,"$15,231.99"
1723,$3450.00
1724,"$25,00"
1725,"$ 6,675"
1726,$ 25.00
1727,$730
1728,"$32,000"
1729,$1580
1730,$1150
1731,"$1,580.00"
1732,"$12,000.11"
1733,"$12,000.08"
1734,"$12,001.15"
1735,$1.07
1736,$158.10
1737,$4550
1738,15 pounds
1739,25 pounds
1740,80-120$ per
1741,$25/package
1742,#9470101699320034122104
1743,$9500.00
1744,7$ the
1745,4$ just
1746,$3810
1747,$1000 dollar
1748,$59.99
1749,"$11,000"
1750,"$4,850.30"
1751,$1856
1752,$700 &$700
1753,$850 & $850
1754,$974.51
1755,$6.95
1756,$1650.00
1757,$21.74
1758,"$3,450.50"
1759,$1130
1760,20$ for
1761,2500$
1762,5000$
1763,8000$
1764,$100/month
1765,350$
1766,1875.98$.
1767,$28/he
1768,$75 bonus
1769,$60k/year
1770,"$-4,000.00"
1771,# 240 425 4576
1772,$23.75
1773,#904-299-2607
1774,#206-691-8138
1775,$320 dollars
1776,$10 dollars
1777,$728
1778,$ 3000
1779,$ 30.00
1780,$117k
1781,$63k
1782,"$7,900.00"
1783,$ 1950.00
1784,$2.73
1785,"$1,820.00"
1786,"$3,610.00"
1787,$ 80.00
1788,"$3,924.00"
1789,"$16,000.00"
1790,"$2,820"
1791,"$ 10,000"
1792,$563/week
1793,"$27,000"
1794,"$800/week $38,400"
1795,$50+$100
1796,"$3,580"
1797,us$ 400
1798,$16 hour
1799,"$8,500.00"
1800,$280.00
1801,$1995
1802,"$3,747.93"
1803,$1512
1804,$11
1805,"$38,400"
1806,$858.00
1807,$680.00
1808,$13.00
1809,"$82,55"
1810,$194.95
1811,"$ 2,000.00 7"
1812,"$ 2,450.00 5"
1813,"$ 2,250.00"
1814,$ 6
1815,"$ 6,700"
1816,$ 2500
1817,$ 15
1818,$15 dollars
1819,$ 375+$1700
1820,$2075
1821,two thousand and seventy-five dollars
1822,"$63,480"
1823,$40/hour
1824,300-400 dollars
1825,"$2,270.65"
1826,sixty-five dollars
1827,350-700$ for
1828,"3,250.00 dollars"
1829,400.00 dollars
1830,"2,850.00 dollars"
1831,$4800
1832,$817.00
1833,$2450.85
1834,$820
1835,$21.40
1836,"$99$1,499"
1837,"$1,337"
1838,$3580.70
1839,# 9470101699320032156651
1840,"$4,970.00"
1841,"$4,970"
1842,#206985
1843,#523
1844,$499
1845,$649.00
1846,"$1,600.00"
1847,#205
1848,$809
1849,"$1,680.00"
1850,$3880
1851,$3650.00
1852,$3462
1853,#358
1854,4 thousand dollars
1855,"$2,985.60"
1856,"$1,455"
1857,$1455
1858,$6810
1859,"$1,010"
1860,"$1,020"
1861,"$12,437.50"
1862,"$18,750.00"
1863,$50k
1864,$600.30
1865,$647
1866,"$7,150.00"
1867,$20.71
1868,$48.57
1869,$34.65
1870,# 1861236
1871,8 thousand dollars
1872,$96.80
1873,45 cents
1874,#142138
1875,"$52,500"
1876,"$8,303"
1877,$576.00
1878,"$2,781.42"
1879,$2785.00
1880,"$1,920"
1881,"$27,600"
1882,$3150
1883,$28.70
1884,$4450.20
1885,$4.95
1886,$33.95
1887,$117.50
1888,$132.50
1889,$352.50
1890,$2445
1891,841 dollars
1892,$3300 + $25.00
1893,$4/22/17
1894,$2495
1895,$1150.00
1896,$25.19
1897,$20.50
1898,$ blah
1899,"$2,890.94"
1900,$1650
1901,"4,800$ standing"
1902,$25 dollars
1903,#786164265354
1904,#86302
1905,$20 hr
1906,$25 hr
1907,$39.99-3
1908,$59.99-6
1909,$50.00 dollars
1910,$1180.00
1911,$420.00
1912,$1300weekly
1913,$173.00
1914,$800 7
1915,#0000471564 $2400.00
1916,$129
1917,$99!
1918,$395
1919,$195
1920,$1680.00
1921,# 2:17am.
1922,"$3,900"
1923,$500 + $250
1924,$11.50
1925,"$4,250"
1926,299$ certification
1927,140$ deposit
1928,140$ but
1929,450-500$.
1930,$50.35
1931,$2480.56
1932,$3700/monthly
1933,usd 100 dollars $ per
1934,$170.00
1935,"$3,250"
1936,$1450 $200
1937,$4650/month
1938,$22/hr
1939,"2,500$"
1940,"$2,000 dollars"
1941,$300 dollars
1942,$4850
1943,$799.00
1944,$1500/mo
1945,"$4,850.21"
1946,$ 2452.30
1947,$710.00
1948,$3.800
1949,"$3,800"
1950,$135
1951,$38.72
1952,$100.00 usd
1953,zero dollars
1954,$206
1955,$236
1956,"25,000$ worth"
1957,700$
1958,$9000.00
1959,$29.99
1960,"$3,460"
1961,$27/hour
1962,$3250/month
1963,$120.00
1964,$71k/yr
1965,# 777930869930
1966,$4356.00
1967,$733.00
1968,$3990.10
1969,$3748.75
1970,$1899.00
1971,$15 commission
1972,$2970.47
1973,$40.8
1974,$15.7
1975,"1,695 dollars"
1976,$110.10
1977,$4315.50
1978,"$1,260"
1979,# 245086253
1980,$325
1981,$265
1982,0.02 cents
1983,$66.500
1984,$5850
1985,$12.50
1986,"$2,595"
1987,"$2,505"
1988,"$2,845"
1989,$825.00
1990,"$2,000-4,000"
1991,$ 4200
1992,100$ sign
1993,$3160.00
1994,# 2003701
1995,$2700/month
1996,"$7,200.00"
1997,$2400.00
1998,$2860
1999,"$2,942.00"
2000,$49.80
2001,$40.25
2002,$34/hour
2003,$3650.89
2004,"$3,950.10"
2005,"$3,890.00"
2006,"$3,086.37 8"
2007,$48.99
2008,"$4,612.00"
2009,"$2,810"
2010,$830
2011,$400 commission
2012,120 dollars
2013,$3980.00
2014,8000$.
2015,"$7,900,000.00"
2016,$4950.10
2017,30-33 pounds
2018,$ 3250
2019,$1980
2020,$24k
2021,$30.12
2022,#************
2023,$810.00
2024,22$
2025,# 32125
2026,$45 bn
2027,$24.5
2028,$16.5
2029,$ 2000.00
2030,three hundred dollars
2031,$2945
2032,$250 dollars
2033,$ 47.00
2034,"$3,550.00"
2035,"$29,000"
2036,$439.00
2037,$?
2038,"$63,0000"
2039,"$786,469"
2040,25$ per
2041,10$ small
2042,10$ per
2043,"$2,370"
2044,$6500
2045,#472
2046,$270.00
2047,# 16
2048,$23/hr
2049,"$ 4,650"
2050,"$3,150.00"
2051,$2450.90
2052,$850.00
2053,$950.55
2054,$750.00 dollars
2055,39$ because
2056,40 dollars
2057,"$8,890"
2058,$350/week
2059,$3250.00
2060,zero $
2061,3250$ per month
2062,$21.70
2063,"$2,875"
2064,$125
2065,$25.48
2066,300$ or
2067,400$...
2068,$1180
2069,"$1,730"
2070,"$214,509.03"
2071,$2036.50
2072,"$2,000.00-4,000.00"
2073,# 9405 5016 9932 0084 8636 62
2074,$978.00
2075,$150.00 us dollars
2076,#544
2077,$3.67
2078,$ 30000/year
2079,$ 1700
2080,$ 2700
2081,$159.00
2082,$1940
2083,$970.00
2084,$91.200.00
2085,# 1506213
2086,# 3000
2087,$4903.93
2088,$3.93
2089,$203.93
2090,$167.30
2091,300.00$ plus
2092,$658
2093,$778
2094,"$10,500"
2095,"$1,680.75"
2096,$1480.75
2097,$786.00
2098,"2,500 hundred dollars"
2099,"$3,861"
2100,"$18,500"
2101,"$16,700"
2102,$18.500
2103,"$1,448.54"
2104,$28.00
2105,"$1,420.00"
2106,"$1,420.00 mark"
2107,ten dollars
2108,$6
2109,$2.50
2110,20 dollars
2111,"$2,725"
2112,$2357
2113,$5900.00
2114,$138
2115,$7589.00
2116,$200k
2117,five hundred dollars
2118,$2940.00
2119,$2940
2120,$1480
2121,$1950.55
2122,$1522
2123,$1980.55
2124,$200+10%
2125,"$1,750"
2126,$50 b.
2127,$1727
2128,# 4465060597
2129,$55k/year
2130,$88k/year
2131,#11
2132,$223.25
2133,$170 dollars
2134,$743.00
2135,"$90,000.00"
2136,100$ money
2137,200$ left
2138,6 dollars
2139,100$ please
2140,100.99$.
2141,101$.
2142,450$
2143,100$.
2144,100$ then
2145,450$.
2146,$99 dollars
2147,$77
2148,$56
2149,"$85,000.00"
2150,$4.97
2151,$0.15
2152,"$96,200.00"
2153,$17.50
2154,fifty cents
2155,ten dollar
2156,99 dollars
2157,$1487.22
2158,$160.22
2159,$1292.00
2160,$1487.22 + $20.00
2161,#246 113-01
2162,# 1060
2163,"$47,000.00"
2164,"$53,000.00"
2165,"$69,000"
2166,$ 2300.45
2167,"$2,680"
2168,365$
2169,#**********
2170,$1880
2171,$85.50
2172,"$1,745"
2173,"$1,465"
2174,$2149.52
2175,$1615.00
2176,$996.00
2177,$297 dollars
2178,$1260
2179,$132
2180,$760
2181,$68k/year
2182,$60k/yr
2183,$2188
2184,2300 dollars
2185,"$1,050"
2186,$1630
2187,$45.15
2188,$8642
2189,# 9405 5016 9932 0075
2190,2900.00 dollars
2191,$67.16
2192,$31.50
2193,$62.50
2194,$29.95
2195,"$2,995.78"
2196,"1,745 dollars"
2197,$2465.60
2198,$18/per
2199,$2920
2200,$130.000
2201,$1300.000
2202,"#9,760"
2203,$7k
2204,$3991.19
2205,"$3,145.00"
2206,$87.39
2207,$84.40
2208,$28.07
2209,$554.50
2210,$2500 dollars
2211,$885.00
2212,"$1,987.22"
2213,$20/hourly
2214,# ********
2215,"$1,200,000"
2216,$1640
2217,$210
2218,$356.11
2219,$426.89
2220,"$80,000"
2221,billion dollar
2222,"$70,000"
2223,#818-828
2224,"$2,770"
2225,$4999.00
2226,$1997.20
2227,$1627
2228,$1680.35
2229,26 dollars
2230,$340.00 2
2231,"$2,381.71 +$176.00"
2232,"$2,557.71"
2233,"$2,997.71"
2234,$845
2235,"$3,785.50"
2236,$28.5
2237,$3760
